id,city_name,latitude,longitude,country_code
1,Adak,55.999722,-161.207778,USA
2,Akiachak,60.891854,-161.39233,USA
3,Akiak,60.890632,-161.199325,USA
4,Akutan,54.143012,-165.785368,USA
5,Alakanuk,62.746967,-164.60228,USA
6,Aleknagik,59.269688,-158.619882,USA
7,Allakaket,66.543197,-152.712155,USA
8,Ambler,67.46951,-156.455652,USA
9,Anaktuvuk Pass,68.11878,-151.679005,USA
10,Anchor Point,59.788818,-151.732933,USA
11,Anchorage,61.211571,-149.876077,USA
12,Anderson,64.300693,-149.1718,USA
13,Angoon,57.569832,-134.371052,USA
14,Aniak,61.691648,-157.758502,USA
15,Anvik,62.830913,-160.130441,USA
16,Arctic Village,68.077395,-145.423115,USA
17,Atka,52.199167,-174.213333,USA
18,Atqasuk,71.290556,-156.788611,USA
19,Auke Bay,58.3833,-134.6597,USA
20,Barrow,71.234637,-156.817409,USA
21,Beaver,66.33883,-147.279803,USA
22,Bethel,60.832389,-161.824053,USA
23,Bettles Field,67.100495,-151.062414,USA
24,Big Lake,61.5842,-149.4401,USA
25,Brevig Mission,65.334187,-166.478578,USA
26,Buckland,65.981052,-161.131676,USA
27,Cantwell,63.395458,-148.89735,USA
28,Central,65.468058,-144.74886,USA
29,Chalkyitsik,66.719,-143.638121,USA
30,Chefornak,60.153746,-164.210294,USA
31,Chevak,61.583982,-164.776457,USA
32,Chicken,64.075,-141.933333,USA
33,Chignik,56.301639,-158.415696,USA
34,Chignik Lagoon,56.251277,-158.673528,USA
35,Chignik Lake,56.255556,-158.7625,USA
36,Chitina,61.516667,-144.436667,USA
37,Chugiak,61.409802,-149.453736,USA
38,Circle,65.824542,-144.08262,USA
39,Clam Gulch,60.201603,-151.422628,USA
40,Clarks Point,58.84921,-158.451241,USA
41,Clear,64.418121,-149.139885,USA
42,Coffman Cove,55.342222,-131.646111,USA
43,Cold Bay,55.610952,-161.942941,USA
44,Cooper Landing,60.476692,-149.823514,USA
45,Copper Center,61.91581,-144.97793,USA
46,Cordova,60.102558,-147.943316,USA
47,Craig,55.47317,-133.117081,USA
48,Crooked Creek,61.818072,-158.002483,USA
49,Deering,66.062265,-162.711951,USA
50,Delta Junction,64.005426,-145.613611,USA
51,Denali National Park,63.516075,-149.539532,USA
52,Dillingham,59.059279,-158.973533,USA
53,Douglas,58.275597,-134.395041,USA
54,Dutch Harbor,53.362757,-167.510656,USA
55,Eagle,64.783333,-141.2,USA
56,Eagle River,61.311357,-149.508515,USA
57,Eek,60.215058,-162.032341,USA
58,Egegik,58.206174,-157.342202,USA
59,Eielson Afb,64.67352,-147.08051,USA
