id,name,address,zipcode,phone,website,latitude,longitude
48968,Abraham Lincoln Birthplace NHP,"2995 Lincoln Farm Rd, Hodgenville, KY 42748",42748,,,37.5858662,-85.67330523
48969,Acadia NP,"Hancock County, ME",4660,,,44.30777545,-68.30063316
48970,Adams NHP,MA,1220,,,42.2553961,-71.01160356
48971,African Burial Ground NM,"290 Broadway, New York, NY 10007",10007,,,40.71452681,-74.00447358
48972,Agate Fossil Beds NM,"301 River Rd, Harrison, NE 69346",69346,,,42.42170419,-103.753886
48973,Alibates Flint Quarries NM,"cassjohnson road, Fritch, TX 79036",79036,,,35.5819662,-101.6717008
48974,Allegheny Portage Railroad NHS,"110 Federal Park Rd, Gallitzin, PA 16641",16641,,,40.42977467,-78.57431622
48975,Amistad NRA,"10477 Highway 90 West, Del Rio, TX 78840",78840,,,29.53539777,-101.075821
48976,Andersonville NHS,"760 POW Rd, Andersonville, GA 31711",31711,,,32.19831758,-84.12988898
48977,Andrew Johnson NHS,"101 N College St, Greeneville, TN 37743",37743,,,36.15624509,-82.83709021
48978,Aniakchak NM & PRES,"King Salmon, AK 99613",99613,,,56.85317675,-157.5544362
48979,Antietam NB,"302 E Main St, Sharpsburg, MD 21782",21782,,,39.46763452,-77.73828017
48980,Appomattox Court House NHP,UT,,,,37.38022164,-78.79856982
48981,Arches NP,AR,,,,38.72261844,-109.5863666
48982,Arkansas Post NMEM,NM,,,,34.00389998,-91.30837178
48983,Assateague Island NS,SD,,,,38.05593172,-75.24524611
48984,Aztec Ruins NM,CO,,,,36.83682216,-107.9999245
48985,Badlands NP,MT,,,,43.68584846,-102.482942
48986,Bandelier NM,FL,,,,35.77898596,-106.3317124
48987,Bent's Old Fort NHS,KS,,,,38.03977546,-103.4266499
48988,Big Bend NP,VI,,,,29.29817767,-103.2297897
48989,Big Hole NB,CA,,,,45.64647324,-113.6458443
48990,Bighorn Canyon NRA,LA,,,,45.13154227,-108.1443943
48991,Biscayne NP,AZ,,,,25.490587,-80.21023851
48992,Black Canyon of the Gunnison NP,NC,,,,38.57779869,-107.7242756
48993,Booker T. Washington NM,SC,,,,37.11520539,-79.73185833
48994,Boston African American NHS,OK,,,,42.35908295,-71.06764181
48995,Boston NHP,OR,,,,42.36957407,-71.05536763
